"AÑO,""TRIMESTRE"",""PROVEEDOR"",""COD_DEPARTAMENTO"",""DEPARTAMENTO"",""COD_MUNICIPIO"",""MUNICIPIO"",""SEGMENTO"",""TECNOLOGIA"",""VELOCIDAD_BAJADA"",""VELOCIDAD_SUBIDA"",""No DE ACCESOS"""
"2018,""1"",""EDATEL S.A."",""05"",""ANTIOQUIA"",""05042"",""SANTAFÉ DE ANTIOQUIA"",""CORPORATIVO"",""XDSL"",""8,00"",""1,00"",""25"""
"2019,""1"",""AXESS NETWORKS SOLUTIONS COLOMBIA SAS"",""52"",""NARIÑO"",""52473"",""MOSQUERA"",""CORPORATIVO"",""SATELITAL"",""0,06"",""0,06"",""2"""
"2019,""1"",""TELMEX COLOMBIA S.A."",""25"",""CUNDINAMARCA"",""25269"",""FACATATIVÁ"",""CORPORATIVO"",""CABLE"",""40,00"",""8,00"",""55"""
"2019,""1"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""08"",""ATLÁNTICO"",""08685"",""SANTO TOMÁS"",""RESIDENCIAL - ESTRATO 1"",""XDSL"",""8,00"",""1,00"",""1"""
"2020,""2"",""SINERGY SOLUCIONES INTEGRALES S.A.S"",""41"",""HUILA"",""41551"",""PITALITO"",""RESIDENCIAL - ESTRATO 1"",""WIFI"",""2,50"",""0,68"",""37"""
"2019,""2"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""68"",""SANTANDER"",""68077"",""BARBOSA"",""RESIDENCIAL - ESTRATO 3"",""XDSL"",""14,00"",""1,00"",""1"""
"2020,""1"",""COMUNICACION CELULAR S A COMCEL S A"",""50"",""META"",""50001"",""VILLAVICENCIO"",""RESIDENCIAL - ESTRATO 6"",""CABLE"",""5,12"",""1,02"",""15"""
"2019,""1"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""25"",""CUNDINAMARCA"",""25473"",""MOSQUERA"",""RESIDENCIAL - ESTRATO 2"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""11,00"",""1,00"",""1"""
"2018,""4"",""TELMEX COLOMBIA S.A."",""76"",""VALLE DEL CAUCA"",""76001"",""CALI"",""RESIDENCIAL - ESTRATO 6"",""CABLE"",""15,00"",""5,00"",""4"""
"2020,""1"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""25"",""CUNDINAMARCA"",""25899"",""ZIPAQUIRÁ"",""RESIDENCIAL - ESTRATO 1"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""2,00"",""1,00"",""1"""
"2017,""3"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""68"",""SANTANDER"",""68276"",""FLORIDABLANCA"",""CORPORATIVO"",""XDSL"",""9,00"",""1,00"",""1"""
"2019,""3"",""UNE EPM TELECOMUNICACIONES S.A."",""05"",""ANTIOQUIA"",""05318"",""GUARNE"",""RESIDENCIAL - ESTRATO 3"",""HYBRID FIBER COAXIAL (HFC)"",""50,00"",""5,00"",""1"""
"2020,""1"",""EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP"",""68"",""SANTANDER"",""68655"",""SABANA DE TORRES"",""CORPORATIVO"",""FIBER TO THE BUILDING O FIBER TO THE BASEMENT (FTTB)"",""5,12"",""5,12"",""1"""
"2019,""3"",""COMUNICACION CELULAR S A COMCEL S A"",""15"",""BOYACÁ"",""15238"",""DUITAMA"",""CORPORATIVO"",""CABLE"",""300,00"",""10,00"",""5"""
"2018,""3"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""05"",""ANTIOQUIA"",""05585"",""PUERTO NARE"",""CORPORATIVO"",""FIBER TO THE HOME (FTTH)"",""2,00"",""2,00"",""1"""
"2020,""3"",""DIALNET DE COLOMBIA S.A   ESP."",""08"",""ATLÁNTICO"",""08001"",""BARRANQUILLA"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""20,00"",""20,00"",""4"""
"2017,""4"",""DIRECTV COLOMBIA LTDA"",""81"",""ARAUCA"",""81736"",""SARAVENA"",""RESIDENCIAL - ESTRATO 1"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""4,00"",""0,50"",""12"""
"2019,""2"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""68"",""SANTANDER"",""68705"",""SANTA BÁRBARA"",""CORPORATIVO"",""FIBER TO THE HOME (FTTH)"",""10,00"",""5,00"",""2"""
"2020,""4"",""COMUNICACION CELULAR S A COMCEL S A"",""15"",""BOYACÁ"",""15759"",""SOGAMOSO"",""RESIDENCIAL - ESTRATO 3"",""CABLE"",""15,00"",""1,02"",""44"""
"2020,""3"",""EDATEL S.A."",""05"",""ANTIOQUIA"",""05310"",""GÓMEZ PLATA"",""RESIDENCIAL - ESTRATO 2"",""XDSL"",""4,00"",""1,00"",""30"""
"2017,""2"",""DIRECTV COLOMBIA LTDA"",""63"",""QUINDÍO"",""63190"",""CIRCASIA"",""RESIDENCIAL - ESTRATO 1"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""6,00"",""1,00"",""2"""
"2020,""2"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""70"",""SUCRE"",""70124"",""CAIMITO"",""RESIDENCIAL - ESTRATO 6"",""FIBER TO THE HOME (FTTH)"",""2,00"",""2,00"",""1"""
"2018,""3"",""MEDIA COMMERCE PARTNERS S.A."",""25"",""CUNDINAMARCA"",""25151"",""CAQUEZA"",""CORPORATIVO"",""FIBER TO THE HOME (FTTH)"",""4,09"",""4,09"",""3"""
"2020,""2"",""CONEXIONES TECNOLOGICAS Y COMUNICACION SAS"",""70"",""SUCRE"",""70001"",""SINCELEJO"",""RESIDENCIAL - ESTRATO 5"",""HYBRID FIBER COAXIAL (HFC)"",""8,00"",""6,00"",""8"""
"2019,""3"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""25"",""CUNDINAMARCA"",""25785"",""TABIO"",""RESIDENCIAL - ESTRATO 3"",""FIBER TO THE HOME (FTTH)"",""150,00"",""75,00"",""1"""
"2018,""2"",""UNE EPM TELECOMUNICACIONES S.A."",""66"",""RISARALDA"",""66170"",""DOSQUEBRADAS"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""15,00"",""3,00"",""7"""
"2017,""2"",""MEGA RED COMUNICACIONES DE COLOMBIA S.A.S."",""76"",""VALLE DEL CAUCA"",""76020"",""ALCALÁ"",""RESIDENCIAL - ESTRATO 4"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""1,70"",""0,70"",""1"""
"2020,""4"",""EME S.A."",""08"",""ATLÁNTICO"",""08758"",""SOLEDAD"",""SIN ESTRATIFICAR"",""FIBER TO THE HOME (FTTH)"",""10,00"",""3,00"",""18"""
"2020,""1"",""UNE EPM TELECOMUNICACIONES S.A."",""05"",""ANTIOQUIA"",""05001"",""MEDELLÍN"",""RESIDENCIAL - ESTRATO 1"",""XDSL"",""5,00"",""1,00"",""4278"""
